table_name	column_name	data_type	is_nullable
bom	id	INT64	YES
bom	bom_name	STRING	YES
bom	sku	STRING	YES
bom_item	id	INT64	YES
bom_item	bom_id	INT64	YES
bom_item	bom_item_name	STRING	YES
bom_item	component_sku	STRING	YES
bom_item	quantity	INT64	YES
bundle	id	INT64	YES
bundle	output	STRING	YES
bundle	input	STRING	YES
bundle	qty	INT64	YES
colors	color	STRING	YES
colors	core	INT64	YES
colors	color_code	STRING	YES
colors	string_field_3	STRING	YES
colors	string_field_4	STRING	YES
deposits	platform	STRING	YES
deposits	date_time	TIMESTAMP	YES
deposits	settlement_id	INT64	YES
deposits	type	STRING	YES
deposits	order_id	STRING	YES
deposits	sku	STRING	YES
deposits	description	STRING	YES
deposits	quantity	INT64	YES
deposits	marketplace	STRING	YES
deposits	account_type	STRING	YES
deposits	fulfillment	STRING	YES
deposits	order_city	STRING	YES
deposits	order_state	STRING	YES
deposits	order_postal	STRING	YES
deposits	tax_collection_model	STRING	YES
deposits	product_sales	FLOAT64	YES
deposits	product_sales_tax	FLOAT64	YES
deposits	shipping_credits	FLOAT64	YES
deposits	shipping_credits_tax	FLOAT64	YES
deposits	gift_wrap_credits	FLOAT64	YES
deposits	gift_wrap_credits_tax	FLOAT64	YES
deposits	regulatory_fee	FLOAT64	YES
deposits	regulatory_fee_tax	FLOAT64	YES
deposits	promotional_rebates	FLOAT64	YES
deposits	promotional_rebate_tax	FLOAT64	YES
deposits	marketplace_tax	FLOAT64	YES
deposits	selling_fees	FLOAT64	YES
deposits	fba_fees	FLOAT64	YES
deposits	other_transaction_fees	FLOAT64	YES
deposits	other	FLOAT64	YES
deposits	total	FLOAT64	YES
fees	platform	STRING	YES
fees	date_time	TIMESTAMP	YES
fees	settlement_id	INT64	YES
fees	type	STRING	YES
fees	order_id	STRING	YES
fees	sku	STRING	YES
fees	description	STRING	YES
fees	quantity	INT64	YES
fees	marketplace	STRING	YES
fees	account_type	STRING	YES
fees	fulfillment	STRING	YES
fees	order_city	STRING	YES
fees	order_state	STRING	YES
fees	order_postal	STRING	YES
fees	tax_collection_model	STRING	YES
fees	product_sales	FLOAT64	YES
fees	product_sales_tax	FLOAT64	YES
fees	shipping_credits	FLOAT64	YES
fees	shipping_credits_tax	FLOAT64	YES
fees	gift_wrap_credits	FLOAT64	YES
fees	gift_wrap_credits_tax	FLOAT64	YES
fees	regulatory_fee	FLOAT64	YES
fees	regulatory_fee_tax	FLOAT64	YES
fees	promotional_rebates	FLOAT64	YES
fees	promotional_rebate_tax	FLOAT64	YES
fees	marketplace_tax	FLOAT64	YES
fees	selling_fees	FLOAT64	YES
fees	fba_fees	FLOAT64	YES
fees	other_transaction_fees	FLOAT64	YES
fees	other	FLOAT64	YES
fees	total	FLOAT64	YES
forecast	month	TIMESTAMP	YES
forecast	sku	STRING	YES
forecast	platform	STRING	YES
forecast	product	STRING	YES
forecast	color	STRING	YES
forecast	forecast_units	INT64	YES
forecast	forecast_revenue	FLOAT64	YES
forecast	prior_year_units	INT64	YES
forecast	prior_year_revenue	FLOAT64	YES
forecast	unit_cogs	FLOAT64	YES
forecast	cogs	FLOAT64	YES
forecast	gross_profit	FLOAT64	YES
forecast	gross_margin_pct	FLOAT64	YES
forecast_override	SKU	STRING	YES
forecast_override	Product	STRING	YES
forecast_override	Color	STRING	YES
forecast_override	override_value	FLOAT64	YES
forecast_override	override_type	STRING	YES
forecast_override	override_calc	STRING	YES
forecast_override	Platform	STRING	YES
invoiceItems	invoice_id	STRING	YES
invoiceItems	line_number	INT64	YES
invoiceItems	quantity	FLOAT64	YES
invoiceItems	item_code	STRING	YES
invoiceItems	description	STRING	YES
invoiceItems	price_each	FLOAT64	YES
invoiceItems	amount	FLOAT64	YES
invoices	invoice_id	STRING	YES
invoices	vendor	STRING	YES
invoices	invoice_date	DATE	YES
invoices	invoice_number	STRING	YES
invoices	po_number	STRING	YES
invoices	subtotal	FLOAT64	YES
invoices	sales_tax	FLOAT64	YES
invoices	total	FLOAT64	YES
invoices	source_file	STRING	YES
invoices	extraction_confidence	FLOAT64	YES
invoices	extraction_errors	STRING	YES
invoices	duplicate_files	STRING	YES
item	sku	STRING	YES
item	id	INT64	YES
item	product	STRING	YES
item	source	STRING	YES
item	sell_price	FLOAT64	YES
item	vendor_sku	STRING	YES
item	item_description	STRING	YES
item	status	STRING	YES
item	vendor	STRING	YES
item	item_price	FLOAT64	YES
item	build_cost	FLOAT64	YES
item	bundle	STRING	YES
item	color	STRING	YES
item	variant	STRING	YES
item	price_sheet	STRING	YES
item	component_type	STRING	YES
item	category	STRING	YES
orders	platform	STRING	YES
orders	date_time	TIMESTAMP	YES
orders	settlement_id	INT64	YES
orders	order_id	STRING	YES
orders	sku	STRING	YES
orders	quantity	INT64	YES
orders	fulfillment	STRING	YES
orders	order_postal	STRING	YES
orders	product_sales	FLOAT64	YES
orders	shipping_credits	FLOAT64	YES
orders	promotional_rebates	FLOAT64	YES
orders	selling_fees	FLOAT64	YES
orders	fba_fees	FLOAT64	YES
orders	other_transaction_fees	FLOAT64	YES
orders	other	FLOAT64	YES
orders	total	FLOAT64	YES
orders	customer_id	INT64	YES
orders	order_line_id	INT64	YES
po	id	INT64	YES
po	po_no	STRING	YES
po	order_date	DATE	YES
po	status	STRING	YES
po	vendor	STRING	YES
po_line_item	id	INT64	YES
po_line_item	po_id	INT64	YES
po_line_item	po_no	STRING	YES
po_line_item	order_date	DATE	YES
po_line_item	status	STRING	YES
po_line_item	vendor	STRING	YES
po_line_item	sku	STRING	YES
po_line_item	qty_received	INT64	YES
po_line_item	qty_ordered	INT64	YES
refunds	platform	STRING	YES
refunds	date_time	TIMESTAMP	YES
refunds	settlement_id	INT64	YES
refunds	type	STRING	YES
refunds	order_id	STRING	YES
refunds	sku	STRING	YES
refunds	description	STRING	YES
refunds	quantity	INT64	YES
refunds	marketplace	STRING	YES
refunds	account_type	STRING	YES
refunds	fulfillment	STRING	YES
refunds	order_city	STRING	YES
refunds	order_state	STRING	YES
refunds	order_postal	STRING	YES
refunds	tax_collection_model	STRING	YES
refunds	product_sales	FLOAT64	YES
refunds	product_sales_tax	FLOAT64	YES
refunds	shipping_credits	FLOAT64	YES
refunds	shipping_credits_tax	FLOAT64	YES
refunds	gift_wrap_credits	FLOAT64	YES
refunds	gift_wrap_credits_tax	FLOAT64	YES
refunds	regulatory_fee	FLOAT64	YES
refunds	regulatory_fee_tax	FLOAT64	YES
refunds	promotional_rebates	FLOAT64	YES
refunds	promotional_rebate_tax	FLOAT64	YES
refunds	marketplace_tax	FLOAT64	YES
refunds	selling_fees	FLOAT64	YES
refunds	fba_fees	FLOAT64	YES
refunds	other_transaction_fees	FLOAT64	YES
refunds	other	FLOAT64	YES
refunds	total	FLOAT64	YES
vendor-item-pricing	id	INT64	YES
vendor-item-pricing	vendor_id	INT64	YES
vendor-item-pricing	sku	STRING	YES
vendor-item-pricing	min_qty	INT64	YES
vendor-item-pricing	max_qty	INT64	YES
vendor-item-pricing	unit_price	FLOAT64	YES
vendor-item-pricing	effective_date	DATE	YES
vendor-item-pricing	expiration_date	DATE	YES
vendor-item-pricing	price_sheet_ref	STRING	YES
vendor-item-pricing	notes	STRING	YES
vendors	Id	INT64	YES
vendors	Vendor No	INT64	YES
vendors	Name	STRING	YES
vendors	Street	STRING	YES
vendors	Street 2	STRING	YES
vendors	City	STRING	YES
vendors	State	STRING	YES
vendors	Country	STRING	YES
vendors	Zip Code	STRING	YES
vendors	Contact	STRING	YES
vendors	Phone	STRING	YES
vendors	Fax	STRING	YES
vendors	Terms	STRING	YES
vendors	FOB	STRING	YES
vendors	Ship Via	STRING	YES
vendors	Request Days	INT64	YES
vendors	Actual Days	INT64	YES
vendors	Sales Tax Code	STRING	YES
vendors	POD Days	STRING	YES
vendors	Charge Out	BOOL	YES
vendors	AR Email	STRING	YES
vendors	Order Email	STRING	YES
vendors	Order Attach	STRING	YES
vendors	Send Quantity Type	STRING	YES
vendors	POD Email	STRING	YES
vendors	Inactive	BOOL	YES